"23";419139;524854;149002;76178;325463;1755442;221998;152120;527703;153172;1108478;68765;1165654;555537;133465;13214230;2323343;276808;263347;265500;430127;548439;15323;302186;168414;92185;126170;174306;215646;4346;8945;52088;10773;282961;135042
"24";145875;184676;37931;72363;213020;130941;260273;17747;125750;47742;494356;45202;675668;145430;21055;2323343;9199630;75744;138952;460881;58240;222304;13785;446346;85347;133339;49967;59730;271865;5944;5790;35730;19378;73581;39531
"25";237008;244039;12659;304054;217590;15050;11041;15281;125085;85630;87337;147285;57671;295880;5819;276808;75744;9267812;360892;62498;397629;374961;93698;55575;293059;316170;190775;221657;262033;15775;2484;174082;109065;139063;447847
"26";327159;229919;7065;176239;74190;32237;36376;8564;56172;14007;184865;248275;922532;425365;16226;263347;138952;360892;11407587;174310;109204;347920;16900;127266;387707;170519;52267;84352;187657;2672;4826;64361;21471;348827;140327
"27";460192;330778;16227;119692;94111;13592;11044;7183;24044;2876;88232;31077;232388;135681;12957;265500;460881;62498;174310;9032042;15843;88766;13427;374929;659505;542172;27189;35329;178042;6855;7045;81588;11568;64121;60694
"28";142474;114862;13331;64315;127019;121893;50116;22389;488151;16674;601362;296926;145835;373035;36658;430127;58240;397629;109204;15843;8187901;299707;477030;14857;59083;41079;76670;340332;45916;15540;6822;501207;28035;93685;702628
"29";432784;238130;91847;145060;252392;105799;273218;160764;2274295;531516;1012771;232699;662971;890035;36419;548439;222304;374961;347920;88766;299707;15132833;39136;87262;321723;405485;114989;184052;470602;13139;3479;104021;33017;168451;462908
"3";362362;613474;16588;454421;86787;4913;2593;2314;6304;725;9616;993581;24974;21894;10691;15323;13785;93698;16900;13427;477030;39136;10554590;37350;34597;153809;31671;79752;71338;2820312;406133;1706302;220822;112782;760568
"30";386632;135633;7282;131213;92050;13022;6068;2210;11193;19936;146983;90727;463218;90091;4051;302186;446346;55575;127266;374929;14857;87262;37350;7500577;170350;167141;134233;209624;166601;13797;4839;53130;12660;101086;24403
"31";400546;274385;7332;126129;71485;8727;5164;3323;125667;5232;126105;115040;200267;209204;9998;168414;85347;293059;387707;659505;59083;321723;34597;170350;8975847;1094346;95790;86359;577745;3925;5318;73536;3825;34116;156239
"32";915437;662630;10983;612923;88497;7206;3185;3009;157364;2287;59265;239762;71269;139276;3684;92185;133339;316170;170519;542172;41079;405485;153809;167141;1094346;12649692;175913;120849;544994;93460;18938;275421;64206;32146;92514
"33";146905;82825;3331;219052;261890;9877;1754;11232;37219;52233;42519;99615;19752;62699;315;126170;49967;190775;52267;27189;76670;114989;31671;134233;95790;175913;5758204;219012;209748;38328;3621;208961;55401;5833;22884
"34";128408;127036;6630;145379;209610;61408;20616;18056;102186;39290;179676;210021;51377;239564;4544;174306;59730;221657;84352;35329;340332;184052;79752;209624;86359;120849;219012;5290424;120742;30035;22367;242998;39460;45044;97315
"35";278714;366014;36342;230550;43541;8633;10697;1797;119196;2513;364466;88928;386575;262458;1693;215646;271865;262033;187657;178042;45916;470602;71338;166601;577745;544994;209748;120742;15805378;29060;4422;155283;59391;40477;32646
"4";143077;325019;8870;479100;46635;4488;3065;1814;1398;458;1428;798019;895;1899;584;4346;5944;15775;2672;6855;15540;13139;2820312;13797;3925;93460;38328;30035;29060;12132499;261134;2358962;648691;11314;27124
"5";202650;169190;1162;71090;15821;2653;992;290;869;190;1584;300865;7543;8101;6949;8945;5790;2484;4826;7045;6822;3479;406133;4839;5318;18938;3621;22367;4422;261134;2871031;435879;3267;212314;34443
"6";445672;1223744;111402;1314660;492137;32031;93726;20856;11786;7036;31035;2073525;39318;55552;12485;52088;35730;174082;64361;81588;501207;104021;1706302;53130;73536;275421;208961;242998;155283;2358962;435879;25287889;2302961;544407;544095
"7";189070;160542;16033;735780;120184;3834;7143;3661;1054;4409;2739;166538;5415;1756;156;10773;19378;109065;21471;11568;28035;33017;220822;12660;3825;64206;55401;39460;59391;648691;3267;2302961;6633202;7694;19252
"8";1432517;686541;12597;73831;50575;365327;9801;3727;379736;1018;703190;1132716;384304;1171768;184721;282961;73581;139063;348827;64121;93685;168451;112782;101086;34116;32146;5833;45044;40477;11314;212314;544407;7694;13624917;1366521
"9";832079;615023;15757;123855;349238;252442;17505;11026;640378;1250;591978;1778205;204091;496639;90594;135042;39531;447847;140327;60694;702628;462908;760568;24403;156239;92514;22884;97315;32646;27124;34443;544095;19252;1366521;15211979
