"Country";"MORc";"RCA";"RCA_step0";"RCA_step1";"RCA_step2";"Period";"Category"
"KR";"46,3702931547607";"46,3702931547607";"2115";"476150,199054373";"802407,991074391";"Period 1 (1974-1988)";"AI-core codes"
"US";"32,4439720337456";"32,4439720337456";"149028";"517482,220985318";"781769,671075883";"Period 1 (1974-1988)";"AI-core codes"
"CN";"50,0957066627677";"50,0957066627677";"47645";"1308030,73445272";"1508577,21588875";"Period 2 (1989-2003)";"AI-core codes"
"JP";"50,6371596255579";"50,6371596255579";"2213018";"1183706,68877659";"1517595,18747864";"Period 2 (1989-2003)";"AI-core codes"
"KR";"63,6522771988261";"63,6522771988261";"116022";"1268126,85378635";"1521580,49617356";"Period 2 (1989-2003)";"AI-core codes"
"US";"60,2908069205301";"60,2908069205301";"735195";"1232585,33983229";"1521258,46096703";"Period 2 (1989-2003)";"AI-core codes"
"CN";"51,6949013963616";"51,6949013963616";"4965200";"3322891,00788528";"3071076,64206261";"Period 3 (2004-2018)";"AI-core codes"
"JP";"42,6671203483172";"42,6671203483172";"1702238";"3339900,40221461";"3014767,94361479";"Period 3 (2004-2018)";"AI-core codes"
"KR";"32,8421677345161";"32,8421677345161";"805840";"3233206,87559813";"2957488,32497915";"Period 3 (2004-2018)";"AI-core codes"
"US";"23,7463769760118";"23,7463769760118";"1844128";"3479628,87991398";"2900185,66706483";"Period 3 (2004-2018)";"AI-core codes"
"CN";"66,1824049741281";"66,1824049741281";"384";"146952,895833333";"188236,431354634";"Period 1 (1974-1988)";"AI-related codes"
"JP";"85,2869473522777";"85,2869473522777";"261625";"157477,078841854";"201049,464045932";"Period 1 (1974-1988)";"AI-related codes"
"KR";"90,3743950139852";"90,3743950139852";"894";"159028,161073825";"204492,668340817";"Period 1 (1974-1988)";"AI-related codes"
"US";"65,3176292261832";"65,3176292261832";"45872";"136669,819933729";"187900,584035343";"Period 1 (1974-1988)";"AI-related codes"
"CN";"77,8835027608327";"77,8835027608327";"18689";"474624,845203061";"333037,355878367";"Period 2 (1989-2003)";"AI-related codes"
"JP";"86,1670907509454";"86,1670907509454";"535010";"445090,863497879";"348444,210755742";"Period 2 (1989-2003)";"AI-related codes"
"KR";"94,6565939633608";"94,6565939633608";"67095";"514438,379238393";"346550,343953239";"Period 2 (1989-2003)";"AI-related codes"
"US";"76,9527999592505";"76,9527999592505";"291697";"450249,175816001";"336222,532535237";"Period 2 (1989-2003)";"AI-related codes"
"CN";"81,5842777679896";"81,5842777679896";"1405082";"1933552,36497728";"839398,707921644";"Period 3 (2004-2018)";"AI-related codes"
"JP";"73,4244562761888";"73,4244562761888";"389301";"1621978,14556346";"802249,238307628";"Period 3 (2004-2018)";"AI-related codes"
"KR";"81,9834069766981";"81,9834069766981";"327522";"1915520,09132822";"834666,817932682";"Period 3 (2004-2018)";"AI-related codes"
"US";"81,5675518106843";"81,5675518106843";"628940";"1879749,30035456";"828858,255981961";"Period 3 (2004-2018)";"AI-related codes"
"CN";"50,153617705669";"50,153617705669";"5102";"565139,402195218";"1538521,39029179";"Period 1 (1974-1988)";"Surrounding codes"
"JP";"71,7811895745653";"71,7811895745653";"2203962";"645082,662083557";"1706872,7829065";"Period 1 (1974-1988)";"Surrounding codes"
"KR";"72,039832264347";"72,039832264347";"6395";"601483,460985145";"1709179,29326278";"Period 1 (1974-1988)";"Surrounding codes"
"US";"52,8743894164844";"52,8743894164844";"311326";"536156,130027688";"1560918,6772844";"Period 1 (1974-1988)";"Surrounding codes"
"CN";"63,5494541804568";"63,5494541804568";"91479";"1064160,48208879";"2811804,07901559";"Period 2 (1989-2003)";"Surrounding codes"
"JP";"78,186402091233";"78,186402091233";"4383783";"1248790,97109506";"3055650,90172407";"Period 2 (1989-2003)";"Surrounding codes"
"KR";"75,6722702304485";"75,6722702304485";"316146";"1170592,28312868";"2986323,31221323";"Period 2 (1989-2003)";"Surrounding codes"
"US";"60,0818922013482";"60,0818922013482";"1090620";"1041387,46059306";"2776262,86040235";"Period 2 (1989-2003)";"Surrounding codes"
"CN";"63,8521183297966";"63,8521183297966";"5366383";"2462524,76330165";"3379048,1509095";"Period 3 (2004-2018)";"Surrounding codes"
"JP";"74,3817773084201";"74,3817773084201";"3313233";"2434218,14261206";"3326650,67772754";"Period 3 (2004-2018)";"Surrounding codes"
"KR";"67,3868895152974";"67,3868895152974";"1486526";"2373391,0880664";"3321450,10743952";"Period 3 (2004-2018)";"Surrounding codes"
"US";"51,0582314425588";"51,0582314425588";"1975543";"2146183,11374999";"3243504,05972694";"Period 3 (2004-2018)";"Surrounding codes"
