"Country";"MORc";"RCA";"RCA_step0";"RCA_step1";"RCA_step2";"Period";"Category"
"US";"42.7453094632287";"42.7453094632287";"2";"74";"1.5203548085901";"Period 3 (2004-2018)";"AI-related codes"
"CN";"64,7298358103471";"64,7298358103471";"3";"65";"2,73976476476476";"Period 1 (1974-1988)";"Surrounding codes"
"JP";"56,6341693771853";"56,6341693771853";"4";"18,75";"3,16834150326797";"Period 1 (1974-1988)";"Surrounding codes"
"KR";"81,2052578068564";"81,2052578068564";"4";"29";"3,2843137254902";"Period 1 (1974-1988)";"Surrounding codes"
"US";"97,9719763831438";"97,9719763831438";"3";"74";"2,94138168018765";"Period 1 (1974-1988)";"Surrounding codes"
"CN";"70.0893923140167";"70.0893923140167";"4";"75.5";"3.08934285573181";"Period 2 (1989-2003)";"Surrounding codes"
"JP";"17.0448343914259";"17.0448343914259";"3";"58";"2.82276608834748";"Period 2 (1989-2003)";"Surrounding codes"
"KR";"58.1879297407149";"58.1879297407149";"4";"48.75";"3.05669134058029";"Period 2 (1989-2003)";"Surrounding codes"
"US";"80.1932846525219";"80.1932846525219";"3";"68";"3.11232108655397";"Period 2 (1989-2003)";"Surrounding codes"
"CN";"63.7465668631753";"63.7465668631753";"4";"78.5";"2.83613046148331";"Period 3 (2004-2018)";"Surrounding codes"
"JP";"75.1722218005399";"75.1722218005399";"4";"64.25";"2.88562751454003";"Period 3 (2004-2018)";"Surrounding codes"
"KR";"51.021699829419";"51.021699829419";"4";"73.75";"2.93913931057964";"Period 3 (2004-2018)";"Surrounding codes"
"US";"28.473551224703";"28.473551224703";"3";"99.6666666666667";"2.77106580529686";"Period 3 (2004-2018)";"Surrounding codes"
