"";"MORc(Top4_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"NC";63,2671591839886;63,2671591839886;2;90,5;2,0032647957766
"NE";0;0;1;124;1,78225806451613
"NG";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"NI";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"NJ";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"NL";100;100;1;59;1,94915254237288
"NO";100;100;1;59;1,94915254237288
"NP";50;50;2;91,5;1,86570530344451
"NY";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"NZ";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"OA";0;0;1;124;1,78225806451613
"OH";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"OM";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"ON";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"OR";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"PA";53,230679015375;53,230679015375;1;97;2,15463917525773
"PE";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"PF";0;0;1;124;1,78225806451613
"PH";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"PI";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"PK";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"PL";100;100;1;59;1,94915254237288
"PM";0;0;1;124;1,78225806451613
"PR";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"PS";0;0;1;124;1,78225806451613
"PT";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"PY";63,2671591839886;63,2671591839886;2;90,5;2,0032647957766
"QA";0;0;1;124;1,78225806451613
"RE";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"RO";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"RS";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"RU";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"RW";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"SA";100;100;1;59;1,94915254237288
"SB";0;0;1;124;1,78225806451613
"SC";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"SD";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"SE";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"SG";0;0;1;124;1,78225806451613
"SH";100;100;1;59;1,94915254237288
"SI";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"SJ";0;0;1;124;1,78225806451613
"SK";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"SL";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"SM";0;0;1;124;1,78225806451613
"SN";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"SP";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"SR";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"SU";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"SV";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"SY";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"SZ";63,2671591839886;63,2671591839886;2;90,5;2,0032647957766
"TC";63,2671591839886;63,2671591839886;2;90,5;2,0032647957766
"TD";0;0;1;124;1,78225806451613
"TG";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"TH";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"TJ";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"TK";0;0;1;124;1,78225806451613
"TM";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"TN";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"TO";0;0;1;124;1,78225806451613
"TR";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"TT";0;0;1;124;1,78225806451613
"TV";0;0;1;124;1,78225806451613
"TW";0;0;1;124;1,78225806451613
"TZ";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"UA";0;0;1;124;1,78225806451613
"UG";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"UK";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"UM";100;100;1;59;1,94915254237288
"US";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"UT";53,230679015375;53,230679015375;1;97;2,15463917525773
"UX";0;0;1;124;1,78225806451613
"UY";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"UZ";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"VA";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"VE";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"VG";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"VN";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"VZ";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"WA";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"WF";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"WS";63,2671591839886;63,2671591839886;2;90,5;2,0032647957766
"YE";50;50;2;91,5;1,86570530344451
"YS";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"YU";0;0;1;124;1,78225806451613
"ZA";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"ZJ";53,230679015375;53,230679015375;1;97;2,15463917525773
"ZW";26,5343183679773;26,5343183679773;1;122;2,05737704918033
