"ctry_code";"techn_field_nr";"RCA";"permutation_number"
"JP";"8";0,555555555555555;20
"JP";"9";1,11111111111111;20
"US";"1";0;20
"US";"26";0;20
"US";"29";0;20
"US";"32";0;20
"US";"6";0;20
"US";"8";5;20
"US";"9";0;20
"JP";"1";1;21
"JP";"17";0;21
"JP";"19";1;21
"JP";"21";0;21
"JP";"27";1;21
"JP";"28";0;21
"JP";"29";0;21
"JP";"5";0;21
"JP";"6";1;21
"US";"1";0;21
"US";"17";0;21
"US";"19";0;21
"US";"21";0;21
"US";"27";0;21
"US";"28";0;21
"US";"29";0;21
"US";"5";0;21
"US";"6";0;21
"JP";"10";1;22
"JP";"2";1;22
"JP";"23";0;22
"JP";"24";1;22
"JP";"25";0;22
"JP";"26";1;22
"JP";"29";0;22
"JP";"31";1;22
"JP";"32";1;22
"JP";"5";1;22
"JP";"8";1;22
"US";"10";0;22
"US";"2";0;22
"US";"23";0;22
"US";"24";0;22
"US";"25";0;22
"US";"26";0;22
"US";"29";0;22
"US";"31";0;22
"US";"32";0;22
"US";"5";0;22
"US";"8";0;22
"JP";"1";1,125;23
"JP";"2";1,125;23
"JP";"25";1,125;23
"JP";"29";0;23
"JP";"30";1,125;23
"JP";"32";1,125;23
"JP";"34";0;23
"JP";"5";1,125;23
"JP";"9";0;23
"US";"1";0;23
"US";"2";0;23
"US";"25";0;23
"US";"29";0;23
"US";"30";0;23
"US";"32";0;23
"US";"34";9;23
"US";"5";0;23
"US";"9";0;23
"JP";"1";1,16666666666667;24
"JP";"12";0;24
"JP";"19";0;24
"JP";"21";0;24
"JP";"23";1,16666666666667;24
"JP";"26";1,16666666666667;24
"JP";"28";0;24
"JP";"3";0;24
"JP";"32";0;24
"JP";"34";1,16666666666667;24
"JP";"35";0;24
"JP";"5";1,16666666666667;24
"JP";"8";0;24
"JP";"9";0;24
"US";"1";0;24
"US";"12";0;24
"US";"19";7;24
"US";"21";0;24
"US";"23";0;24
"US";"26";0;24
"US";"28";0;24
"US";"3";0;24
"US";"32";0;24
"US";"34";0;24
"US";"35";0;24
"US";"5";0;24
"US";"8";0;24
"US";"9";0;24
"JP";"1";1,11111111111111;25
"JP";"15";1,11111111111111;25
"JP";"2";1,11111111111111;25
"JP";"24";0;25
"JP";"25";1,11111111111111;25
"JP";"26";1,11111111111111;25
"JP";"27";1,11111111111111;25
"JP";"8";1,11111111111111;25
"JP";"9";1,11111111111111;25
"US";"1";0;25
"US";"15";0;25
"US";"2";0;25
"US";"24";10;25
"US";"25";0;25
"US";"26";0;25
"US";"27";0;25
"US";"8";0;25
"US";"9";0;25
"JP";"1";1,125;26
"JP";"14";0;26
"JP";"2";1,125;26
"JP";"21";1,125;26
"JP";"23";0;26
"JP";"25";1,125;26
"JP";"26";1,125;26
"JP";"27";0;26
"JP";"33";1,125;26
"JP";"6";1,125;26
"US";"1";0;26
"US";"14";0;26
"US";"2";0;26
"US";"21";0;26
"US";"23";0;26
"US";"25";0;26
"US";"26";0;26
"US";"27";9;26
"US";"33";0;26
"US";"6";0;26
"JP";"1";1;27
"JP";"10";1;27
"JP";"17";0;27
"JP";"19";0;27
"JP";"2";1;27
"JP";"20";0;27
"JP";"25";0;27
"JP";"26";1;27
"JP";"28";0;27
"JP";"30";1;27
"JP";"32";0;27
"JP";"6";1;27
"US";"1";0;27
"US";"10";0;27
"US";"17";0;27
"US";"19";0;27
"US";"2";0;27
"US";"20";0;27
"US";"25";0;27
"US";"26";0;27
"US";"28";0;27
"US";"30";0;27
"US";"32";0;27
"US";"6";0;27
"JP";"1";1;28
"JP";"20";1;28
"JP";"21";1;28
"JP";"23";0;28
"JP";"24";1;28
"JP";"27";1;28
"JP";"29";1;28
"JP";"31";1;28
"JP";"34";0;28
"JP";"6";1;28
"US";"1";0;28
"US";"20";0;28
"US";"21";0;28
"US";"23";0;28
"US";"24";0;28
"US";"27";0;28
"US";"29";0;28
"US";"31";0;28
"US";"34";0;28
"US";"6";0;28
"JP";"1";1,14285714285714;29
"JP";"10";1,14285714285714;29
"JP";"15";1,14285714285714;29
"JP";"17";1,14285714285714;29
"JP";"19";0;29
"JP";"20";0;29
"JP";"23";1,14285714285714;29
"JP";"27";0;29
"JP";"6";0;29
"JP";"9";0;29
"US";"1";0;29
"US";"10";0;29
"US";"15";0;29
"US";"17";0;29
"US";"19";8;29
"US";"20";0;29
"US";"23";0;29
"US";"27";0;29
"US";"6";0;29
"US";"9";0;29
"JP";"10";1;30
"JP";"12";0;30
"JP";"19";0;30
"JP";"2";1;30
"JP";"21";0;30
"JP";"25";1;30
"JP";"26";0;30
"JP";"28";0;30
"JP";"31";0;30
"JP";"32";0;30
"JP";"35";0;30
"JP";"9";1;30
"US";"10";0;30
"US";"12";0;30
"US";"19";0;30
"US";"2";0;30
"US";"21";0;30
"US";"25";0;30
"US";"26";0;30
"US";"28";0;30
"US";"31";0;30
"US";"32";0;30
"US";"35";0;30
"US";"9";0;30
"JP";"1";0;31
"JP";"10";1;31
"JP";"20";1;31
"JP";"26";1;31
"JP";"27";0;31
"JP";"30";1;31
"JP";"31";0;31
"JP";"32";0;31
"JP";"35";0;31
"JP";"5";1;31
"JP";"8";0;31
"JP";"9";0;31
"US";"1";0;31
"US";"10";0;31
"US";"20";0;31
"US";"26";0;31
"US";"27";0;31
"US";"30";0;31
"US";"31";0;31
"US";"32";0;31
"US";"35";0;31
"US";"5";0;31
"US";"8";0;31
"US";"9";0;31
"JP";"1";1,125;32
"JP";"14";1,125;32
"JP";"19";0;32
"JP";"26";1,125;32
"JP";"29";1,125;32
"JP";"3";1,125;32
"JP";"32";0;32
"JP";"5";1,125;32
"JP";"8";1,125;32
"JP";"9";0;32
"US";"1";0;32
"US";"14";0;32
"US";"19";0;32
"US";"26";0;32
"US";"29";0;32
"US";"3";0;32
"US";"32";9;32
"US";"5";0;32
"US";"8";0;32
"US";"9";0;32
"JP";"10";1,11111111111111;33
"JP";"20";1,11111111111111;33
"JP";"21";1,11111111111111;33
"JP";"23";0;33
"JP";"27";1,11111111111111;33
"JP";"28";1,11111111111111;33
"JP";"5";1,11111111111111;33
"JP";"8";1,11111111111111;33
"JP";"9";1,11111111111111;33
"US";"10";0;33
"US";"20";0;33
"US";"21";0;33
"US";"23";10;33
"US";"27";0;33
"US";"28";0;33
"US";"5";0;33
"US";"8";0;33
"US";"9";0;33
"JP";"1";1,14285714285714;34
"JP";"13";1,14285714285714;34
"JP";"15";1,14285714285714;34
"JP";"19";0;34
"JP";"20";1,14285714285714;34
"JP";"21";0;34
"JP";"29";0;34
"JP";"3";0;34
"JP";"4";0;34
"JP";"8";1,14285714285714;34
"US";"1";0;34
"US";"13";0;34
"US";"15";0;34
"US";"19";8;34
"US";"20";0;34
"US";"21";0;34
"US";"29";0;34
"US";"3";0;34
"US";"4";0;34
"US";"8";0;34
"JP";"1";0;35
"JP";"10";1,14285714285714;35
"JP";"16";1,14285714285714;35
"JP";"17";1,14285714285714;35
"JP";"19";1,14285714285714;35
"JP";"20";0;35
"JP";"23";0;35
"JP";"27";1,14285714285714;35
"JP";"29";0;35
"JP";"31";1,14285714285714;35
"JP";"32";0;35
"JP";"35";1,14285714285714;35
"US";"1";0;35
"US";"10";0;35
"US";"16";0;35
"US";"17";0;35
"US";"19";0;35
"US";"20";0;35
"US";"23";8;35
"US";"27";0;35
"US";"29";0;35
"US";"31";0;35
"US";"32";0;35
"US";"35";0;35
"JP";"1";1,14285714285714;36
"JP";"10";1,14285714285714;36
"JP";"17";0;36
"JP";"19";0;36
"JP";"2";1,14285714285714;36
"JP";"25";0;36
"JP";"28";0;36
"JP";"30";1,14285714285714;36
"JP";"31";0;36
"JP";"34";1,14285714285714;36
"JP";"35";1,14285714285714;36
"US";"1";0;36
"US";"10";0;36
"US";"17";0;36
"US";"19";0;36
"US";"2";0;36
"US";"25";8;36
"US";"28";0;36
"US";"30";0;36
"US";"31";0;36
"US";"34";0;36
"US";"35";0;36
"JP";"1";1,14285714285714;37
"JP";"10";0;37
"JP";"14";1,14285714285714;37
"JP";"16";1,14285714285714;37
"JP";"25";0;37
"JP";"28";0;37
"JP";"29";1,14285714285714;37
"JP";"3";0;37
"JP";"30";0;37
"JP";"6";1,14285714285714;37
"JP";"8";1,14285714285714;37
"JP";"9";0;37
"US";"1";0;37
"US";"10";0;37
"US";"14";0;37
"US";"16";0;37
"US";"25";0;37
"US";"28";0;37
"US";"29";0;37
"US";"3";0;37
"US";"30";8;37
"US";"6";0;37
"US";"8";0;37
"US";"9";0;37
"JP";"10";0;38
"JP";"11";0;38
"JP";"12";0;38
"JP";"14";0;38
"JP";"16";0;38
"JP";"18";1,2;38
"JP";"2";1,2;38
"JP";"20";1,2;38
"JP";"23";0;38
"JP";"26";0;38
"JP";"3";0;38
"JP";"4";0;38
"JP";"5";1,2;38
"JP";"9";0;38
"US";"10";0;38
"US";"11";0;38
"US";"12";0;38
"US";"14";0;38
"US";"16";0;38
"US";"18";0;38
"US";"2";0;38
"US";"20";0;38
"US";"23";0;38
"US";"26";6;38
"US";"3";0;38
"US";"4";0;38
"US";"5";0;38
"US";"9";0;38
"JP";"1";1;39
"JP";"10";0;39
"JP";"12";1;39
"JP";"14";0;39
"JP";"16";1;39
"JP";"18";1;39
"JP";"19";0;39
"JP";"27";1;39
"JP";"30";1;39
"JP";"35";1;39
"JP";"9";1;39
"US";"1";0;39
"US";"10";0;39
"US";"12";0;39
"US";"14";0;39
"US";"16";0;39
"US";"18";0;39
"US";"19";0;39
"US";"27";0;39
"US";"30";0;39
"US";"35";0;39
"US";"9";0;39
"JP";"10";1,125;40
"JP";"12";0;40
"JP";"2";1,125;40
"JP";"20";0;40
"JP";"26";1,125;40
"JP";"3";1,125;40
"JP";"32";1,125;40
"JP";"4";0;40
"JP";"5";0;40
"JP";"6";1,125;40
"US";"10";0;40
"US";"12";0;40
"US";"2";0;40
"US";"20";9;40
"US";"26";0;40
"US";"3";0;40
"US";"32";0;40
"US";"4";0;40
"US";"5";0;40
"US";"6";0;40
"JP";"1";1,14285714285714;41
"JP";"12";0;41
"JP";"2";1,14285714285714;41
"JP";"26";1,14285714285714;41
"JP";"29";0;41
"JP";"3";0;41
"JP";"34";0;41
"JP";"6";0;41
"JP";"7";0;41
"JP";"8";1,14285714285714;41
"JP";"9";1,14285714285714;41
"US";"1";0;41
"US";"12";0;41
"US";"2";0;41
"US";"26";0;41
"US";"29";8;41
"US";"3";0;41
"US";"34";0;41
"US";"6";0;41
"US";"7";0;41
"US";"8";0;41
"US";"9";0;41
"JP";"1";1,16666666666667;42
"JP";"10";0;42
"JP";"11";0;42
"JP";"12";1,16666666666667;42
"JP";"15";0;42
"JP";"16";0;42
"JP";"17";0;42
"JP";"19";0;42
"JP";"20";0;42
"JP";"23";1,16666666666667;42
"JP";"24";1,16666666666667;42
"JP";"27";0;42
"JP";"28";0;42
"JP";"31";1,16666666666667;42
"JP";"33";0;42
"US";"1";0;42
"US";"10";0;42
"US";"11";0;42
"US";"12";0;42
"US";"15";0;42
"US";"16";0;42
"US";"17";0;42
"US";"19";0;42
"US";"20";0;42
"US";"23";0;42
"US";"24";0;42
"US";"27";0;42
"US";"28";0;42
"US";"31";0;42
"US";"33";7;42
"JP";"1";1,125;43
"JP";"17";0;43
"JP";"2";1,125;43
"JP";"25";0,5625;43
"JP";"28";1,125;43
"JP";"8";1,125;43
"JP";"9";0;43
"US";"1";0;43
"US";"17";0;43
"US";"2";0;43
"US";"25";4,5;43
"US";"28";0;43
"US";"8";0;43
"US";"9";0;43
"JP";"1";0;44
"JP";"10";1,125;44
"JP";"20";1,125;44
"JP";"21";1,125;44
"JP";"3";1,125;44
"JP";"30";0;44
"JP";"32";0;44
"JP";"35";0;44
"US";"1";0;44
"US";"10";0;44
"US";"20";0;44
"US";"21";0;44
"US";"3";0;44
"US";"30";9;44
"US";"32";0;44
"US";"35";0;44
"JP";"18";1,14285714285714;45
"JP";"19";0;45
"JP";"20";0;45
"JP";"24";1,14285714285714;45
"JP";"25";1,14285714285714;45
"JP";"26";0;45
"JP";"28";1,14285714285714;45
"JP";"3";1,14285714285714;45
"JP";"32";1,14285714285714;45
"JP";"33";0;45
"JP";"5";1,14285714285714;45
"JP";"9";0;45
"US";"18";0;45
"US";"19";0;45
"US";"20";0;45
"US";"24";0;45
"US";"25";0;45
"US";"26";0;45
"US";"28";0;45
"US";"3";0;45
"US";"32";0;45
"US";"33";8;45
"US";"5";0;45
"US";"9";0;45
"JP";"1";1;46
"JP";"2";1;46
"JP";"20";0;46
"JP";"21";0;46
"JP";"28";1;46
"JP";"29";1;46
"JP";"30";1;46
"JP";"35";1;46
"JP";"8";1;46
"US";"1";0;46
"US";"2";0;46
"US";"20";0;46
"US";"21";0;46
"US";"28";0;46
"US";"29";0;46
"US";"30";0;46
"US";"35";0;46
"US";"8";0;46
"JP";"1";1,14285714285714;47
"JP";"10";1,14285714285714;47
"JP";"14";0;47
"JP";"17";0;47
"JP";"26";1,14285714285714;47
"JP";"29";0;47
"JP";"3";1,14285714285714;47
"JP";"30";1,14285714285714;47
"JP";"33";0;47
"JP";"35";0;47
"JP";"8";0;47
"US";"1";0;47
"US";"10";0;47
"US";"14";0;47
"US";"17";0;47
"US";"26";0;47
"US";"29";0;47
"US";"3";0;47
"US";"30";0;47
"US";"33";8;47
"US";"35";0;47
"US";"8";0;47
"JP";"1";1,125;48
"JP";"10";1,125;48
"JP";"14";0;48
"JP";"18";0;48
"JP";"2";1,125;48
"JP";"23";0;48
"JP";"29";0;48
"JP";"35";1,125;48
"JP";"5";1,125;48
"JP";"6";1,125;48
"JP";"8";0;48
"US";"1";0;48
"US";"10";0;48
"US";"14";0;48
"US";"18";0;48
"US";"2";0;48
"US";"23";0;48
"US";"29";9;48
"US";"35";0;48
"US";"5";0;48
"US";"6";0;48
"US";"8";0;48
"CH";"10";0;49
"CH";"11";0;49
"CH";"13";0;49
"CH";"14";0;49
"CH";"16";0;49
"CH";"17";0;49
"CH";"2";0;49
"CH";"20";0;49
"CH";"23";0;49
"CH";"25";0;49
"CH";"28";0;49
"CH";"29";0;49
"CH";"30";0;49
"CH";"34";0;49
"CH";"6";0;49
"JP";"10";0;49
"JP";"11";0;49
"JP";"13";0;49
"JP";"14";0;49
"JP";"16";0;49
"JP";"17";0;49
"JP";"2";1;49
"JP";"20";1;49
"JP";"23";1;49
"JP";"25";1;49
"JP";"28";0;49
"JP";"29";0;49
"JP";"30";1;49
"JP";"34";0;49
"JP";"6";0;49
"US";"10";0;49
"US";"11";0;49
"US";"13";0;49
"US";"14";0;49
"US";"16";0;49
"US";"17";0;49
"US";"2";0;49
"US";"20";0;49
"US";"23";0;49
"US";"25";0;49
"US";"28";0;49
"US";"29";0;49
"US";"30";0;49
"US";"34";0;49
"US";"6";0;49
"JP";"19";0;50
"JP";"23";0;50
"JP";"25";0;50
"JP";"26";1,16666666666667;50
"JP";"27";0;50
"JP";"3";1,16666666666667;50
"JP";"31";0;50
"JP";"35";0;50
"JP";"4";0;50
"JP";"6";1,16666666666667;50
"JP";"8";0;50
"JP";"9";1,16666666666667;50
"US";"19";0;50
"US";"23";0;50
"US";"25";0;50
"US";"26";0;50
"US";"27";0;50
"US";"3";0;50
"US";"31";0;50
"US";"35";7;50
"US";"4";0;50
"US";"6";0;50
"US";"8";0;50
"US";"9";0;50
"JP";"1";1,125;51
"JP";"20";1,125;51
"JP";"25";1,125;51
"JP";"28";0;51
"JP";"5";0;51
"JP";"6";0;51
"JP";"8";1,125;51
"JP";"9";0,75;51
"US";"1";0;51
"US";"20";0;51
"US";"25";0;51
"US";"28";0;51
"US";"5";0;51
"US";"6";0;51
"US";"8";0;51
"US";"9";3;51
"JP";"13";0,761904761904762;52
"JP";"14";0;52
"JP";"18";1,14285714285714;52
"JP";"2";1,14285714285714;52
"JP";"20";0;52
"JP";"23";0;52
"JP";"3";1,14285714285714;52
"JP";"30";0;52
"JP";"31";1,14285714285714;52
"JP";"35";0;52
"JP";"6";1,14285714285714;52
"US";"13";2,66666666666667;52
"US";"14";0;52
"US";"18";0;52
"US";"2";0;52
"US";"20";0;52
"US";"23";0;52
"US";"3";0;52
"US";"30";0;52
"US";"31";0;52
"US";"35";0;52
"US";"6";0;52
"JP";"1";1;53
"JP";"14";0;53
"JP";"17";1;53
"JP";"19";0;53
"JP";"21";1;53
"JP";"26";1;53
"JP";"28";0;53
"JP";"29";0;53
"JP";"9";1;53
"PA";"1";0;53
"PA";"14";0;53
"PA";"17";0;53
"PA";"19";0;53
"PA";"21";0;53
"PA";"26";0;53
"PA";"28";0;53
"PA";"29";0;53
"PA";"9";0;53
"US";"1";0;53
"US";"14";0;53
"US";"17";0;53
"US";"19";0;53
"US";"21";0;53
"US";"26";0;53
"US";"28";0;53
"US";"29";0;53
"US";"9";0;53
"JP";"1";0;54
"JP";"17";0;54
"JP";"19";0;54
"JP";"2";0;54
"JP";"20";1,16666666666667;54
"JP";"21";0;54
"JP";"25";0;54
"JP";"28";1,16666666666667;54
"JP";"29";1,16666666666667;54
"JP";"30";1,16666666666667;54
"JP";"31";0;54
"JP";"5";0;54
"JP";"9";1,16666666666667;54
"US";"1";7;54
"US";"17";0;54
"US";"19";0;54
"US";"2";0;54
"US";"20";0;54
"US";"21";0;54
"US";"25";0;54
"US";"28";0;54
"US";"29";0;54
"US";"30";0;54
"US";"31";0;54
"US";"5";0;54
"US";"9";0;54
"JP";"14";0;55
"JP";"19";0;55
"JP";"20";1,125;55
"JP";"23";0;55
"JP";"26";1,125;55
"JP";"28";1,125;55
"JP";"31";1,125;55
"JP";"34";1,125;55
"JP";"6";1,125;55
"JP";"9";1,125;55
"US";"14";0;55
"US";"19";9;55
"US";"20";0;55
"US";"23";0;55
"US";"26";0;55
"US";"28";0;55
"US";"31";0;55
"US";"34";0;55
"US";"6";0;55
"US";"9";0;55
"JP";"1";1,125;56
"JP";"18";1,125;56
"JP";"21";1,125;56
"JP";"26";0;56
"JP";"28";1,125;56
"JP";"29";1,125;56
"JP";"3";1,125;56
